,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,balance_wy_diff_post,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_allocations,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,log_pp_pta_end_balance,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_budget,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
20,01M450,East Side Community School,2019,01,Junior-Senior High School,680.0,M,True,0.118,0.166,0.538,0.025,0.153,0.02499999999999994,0.275,0.013,67.1%,65.4%,0.654,10293060.0,7758445.0,2534615.0,10293060.0,20909.6,20696.72,14726.88,14939.76,Active,1.0,,,,none,5.4569682106375694e-12,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11409.47794117647,3727.375,15136.85294117647,30.74941176470588,30.436352941176473,21.657176470588233,21.970235294117646,3.2560275143652984,0.26676376516170447,0.20107451039826835,Q2,Q3,Q4,Q4
21,01M458,Forsyth Satellite Academy,2019,01,Senior High School,194.0,M,True,0.0,0.433,0.505,0.021,0.041,0.020999999999999942,0.33,0.057,84.0%,85.4%,0.8540000000000001,3693574.0,2963553.0,730021.0,3693574.0,304.39,559.66,338.54,83.27,Active,1.0,,,,none,9.947598300641403e-14,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15276.046391752578,3762.994845360825,19039.0412371134,1.569020618556701,2.884845360824742,1.7450515463917526,0.42922680412371134,1.4827975807303766,0.01888476433524219,0.01515226173890113,Q4,Q1,Q2,Q1
22,01M509,Marta Valle High School,2019,01,Senior High School,127.0,M,True,0.071,0.37,0.512,0.024,0.024,0.023000000000000007,0.276,0.063,89.0%,81.4%,0.8140000000000001,3173283.0,1814458.0,1358825.0,3173283.0,0.0,0.0,0.0,0.0,Inactive,0.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14287.070866141732,10699.409448818898,24986.48031496063,0.0,0.0,0.0,0.0,1.3802827534680495,0.0,0.0,Q3,,,
23,01M515,Lower East Side Preparatory High School,2019,01,Senior High School,543.0,M,True,0.505,0.094,0.379,0.004,0.018,0.0040000000000000036,0.085,0.718,74.4%,94.1%,0.941,9310135.0,7240253.0,2069882.0,9310135.0,0.0,0.0,0.0,0.0,Inactive,0.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13333.79926335175,3811.9373848987107,17145.736648250462,0.0,0.0,0.0,0.0,1.3802827534680495,0.0,0.0,Q5,,,
24,01M539,"New Explorations into Science, Technology and Math",2019,01,K-12 School,1754.0,M,True,0.333,0.067,0.113,0.089,0.397,0.09000000000000002,0.086,0.016,24.5%,26.9%,0.26899999999999996,17353411.0,14893770.0,2459641.0,17353411.0,1479000.0,1302000.0,542257.0,719257.0,Active,1.0,,,,none,0.0,False,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,8491.316989737743,1402.3038768529077,9893.62086659065,843.2155074116306,742.30330672748,309.15450399087797,410.0667046750285,6.0259691819741805,8.74191020809372,7.502847711035024,Q1,Q5,Q5,Q5
25,01M650,Cascades High School,2019,01,Senior High School,187.0,M,True,0.027,0.481,0.481,0.0,0.011,3.469446951953614e-17,0.198,0.021,86.6%,85.3%,0.853,3179005.0,2455952.0,723053.0,3179005.0,0.0,0.0,0.0,0.0,Inactive,0.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13133.433155080214,3866.5935828877004,17000.026737967914,0.0,0.0,0.0,0.0,1.3802827534680495,0.0,0.0,Q4,,,
26,01M696,Bard High School Early College,2019,01,Senior High School,615.0,M,True,0.289,0.107,0.176,0.024,0.403,0.025000000000000078,0.076,0.002,42.0%,40.6%,0.406,7671913.0,6641009.0,1030904.0,7671913.0,317604.51,256812.47,101207.37,161999.41,Active,1.0,,,,expenditure_div100,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10798.38861788618,1676.2666666666667,12474.655284552846,516.4300975609756,417.58125203252035,164.56482926829267,263.41367479674796,5.588707146724741,3.867070049144641,3.3474372037326283,Q1,Q5,Q5,Q5
27,01M839,Tompkins Square Middle School,2019,01,Middle/Junior High School,362.0,M,True,0.215,0.13,0.406,0.039,0.21,0.03900000000000001,0.276,0.019,67.4%,66.6%,0.6659999999999999,6240325.0,4535812.0,1704513.0,6240325.0,65718.0,48199.0,176.34220000000002,17519.0,Active,1.0,,,,start_balance_div100,176.34219999999914,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,12529.867403314916,4708.599447513812,17238.46685082873,181.5414364640884,133.146408839779,0.48713314917127076,48.39502762430939,3.958354021282468,1.0626322254978822,0.7723796436884297,Q2,Q5,Q5,Q5
28,02M001,P.S. 001 Alfred E. Smith,2019,02,Elementary School,295.0,M,True,0.498,0.18,0.285,0.014,0.024,0.013000000000000123,0.288,0.19,77.6%,83.4%,0.8340000000000001,6906889.0,3395126.0,3511763.0,6906889.0,13018.43,2661.44,29137.34,39494.33,Active,1.0,,,,none,0.0,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11508.901694915254,11904.281355932204,23413.183050847456,44.13027118644068,9.021830508474576,98.77064406779661,133.87908474576273,4.9262032093208195,0.07839002146017555,0.03853312251000414,Q3,Q4,Q2,Q5
29,02M002,P.S. 002 Meyer London,2019,02,Elementary School,483.0,M,True,0.76,0.081,0.147,0.0,0.012,0.0,0.236,0.317,93.2%,90.9%,0.909,10829164.0,5615089.0,5214075.0,10829164.0,42104.02,31470.53,68.0676,10633.49,Active,1.0,,,,start_balance_div100,68.06760000000031,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11625.443064182195,10795.186335403727,22420.62939958592,87.17188405797101,65.1563768115942,0.14092670807453417,22.01550724637681,3.257770829214997,0.5604636008440828,0.29060904424385847,Q4,Q4,Q4,Q4
