,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
206,206,04M224,M.S. 224 Manhattan East School for Arts & Academic,2019,4.0,Middle/Junior High School,185.0,M,True,0.108,0.297,0.449,0.038,0.108,0.038,0.286,0.054,69.7%,72.1%,0.721,3821796.0,2479229.0,1342567.0,3821796.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,13401.237837837838,7257.118918918919,20658.356756756755,,,,,,,,,Q2,,,
209,209,04M375,Mosaic Preparatory Academy,2019,4.0,Elementary School,313.0,M,True,0.022,0.38,0.54,0.045,0.013,0.0449999999999999,0.339,0.093,Above 95%,94.9%,0.949,7400016.0,3728931.0,3671085.0,7400016.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11913.517571884984,11728.70607028754,23642.223642172525,,,,,,,,,Q5,,,
210,210,04M377,Renaissance School of the Arts,2019,4.0,Middle/Junior High School,168.0,M,True,0.012,0.399,0.554,0.024,0.012,0.0229999999999999,0.28,0.071,Above 95%,94.6%,0.946,3858429.0,2677987.0,1180442.0,3858429.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,15940.39880952381,7026.440476190476,22966.839285714286,,,,,,,,,Q5,,,
212,212,04M495,Park East High School,2019,4.0,Senior High School,389.0,M,True,0.067,0.254,0.617,0.036,0.026,0.036,0.18,0.041,81.2%,77.3%,0.773,6197470.0,4233375.0,1964095.0,6197470.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10882.712082262213,5049.087403598972,15931.799485861182,,,,,,,,,Q3,,,
215,215,04M610,Young Women's Leadership School,2019,4.0,Junior-Senior High School,480.0,M,True,0.081,0.256,0.59,0.04,0.033,0.04,0.181,0.023,80.0%,79.1%,0.7909999999999999,6097814.0,4803038.0,1294776.0,6097814.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10006.329166666666,2697.45,12703.779166666667,,,,,,,,,Q3,,,
235,235,05M285,Harlem Renaissance High School,2019,5.0,Senior High School,216.0,M,True,0.009,0.528,0.421,0.009,0.032,0.0099999999999999,0.333,0.162,87.5%,88.8%,0.888,5589395.0,3596841.0,1992554.0,5589395.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,16652.041666666668,9224.787037037036,25876.828703703704,,,,,,,,,Q4,,,
246,246,06M004,P.S. 004 Duke Ellington,2019,6.0,Elementary School,498.0,M,True,0.024,0.072,0.894,0.01,0.0,0.01,0.267,0.287,88.2%,90.7%,0.907,10669001.0,5495954.0,5173047.0,10669001.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11036.05220883534,10387.644578313251,21423.69678714859,,,,,,,,,Q4,,,
248,248,06M008,P.S. 008 Luis Belliard,2019,6.0,Elementary School,495.0,M,True,0.002,0.018,0.962,0.0,0.018,1.908195823574488e-17,0.208,0.366,Above 95%,90.3%,0.903,9332083.0,5339615.0,3992468.0,9332083.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,10787.10101010101,8065.591919191919,18852.69292929293,,,,,,,,,Q4,,,
250,250,06M028,P.S. 028 Wright Brothers,2019,6.0,Elementary School,597.0,M,True,0.008,0.136,0.807,0.007,0.042,0.0069999999999999,0.302,0.38,92.1%,94.6%,0.946,12606647.0,6992612.0,5614035.0,12606647.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,11712.917922948074,9403.743718592965,21116.66164154104,,,,,,,,,Q5,,,
257,257,06M132,P.S. 132 Juan Pablo Duarte,2019,6.0,Elementary School,247.0,M,True,0.0,0.02,0.964,0.0,0.016,1.3877787807814457e-17,0.271,0.457,88.3%,91.6%,0.916,8040336.0,3619669.0,4420667.0,8040336.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,14654.53036437247,17897.437246963564,32551.967611336033,,,,,,,,,Q5,,,
259,259,06M152,P.S. 152 Dyckman Valley,2019,6.0,Elementary School,563.0,M,True,0.002,0.023,0.95,0.011,0.014,0.011,0.202,0.268,92.5%,92.2%,0.922,10656267.0,5626039.0,5030228.0,10656267.0,,,,,Missing,,,,,none,,,,False,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,9992.964476021314,8934.685612788633,18927.650088809947,,,,,,,,,Q5,,,
