,school_name_x,year,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag
924,School for Classics High School,2019,0.0,0.0,285.0,285.0,False,,False,False,False,False,False,True,False,False,False,False,True,True,True
969,P.S. 748 Brooklyn School for Global Scholars,2019,4994493.0,48618.0,33468.5,3479539.0,True,,False,False,False,False,True,False,False,False,False,True,False,True,True
998,P.S. 329 Surfside,2019,202.0,165.0,244.26,281.26,False,,False,False,False,False,False,True,False,False,False,False,True,True,True
1009,Brooklyn Studio Secondary School,2019,11739.87,8734.67,51.7909,3005.2,False,,False,False,False,False,False,False,True,False,False,False,True,True,True
1049,P.S. 889,2019,15532.12,15876.9,12883.0,0.0,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1051,P.S. 041 Francis White,2019,3968.2,25838.2,850.0,1430.2,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1115,A.C.E. Academy for Scholars at the Geraldine Ferra,2019,35608.13,33082.07,586173.0,2526.06,True,,False,True,False,False,False,False,False,False,False,True,False,True,True
1163,Queens High School for Language Studies,2019,7361.21,4183095.0,2592.59,3177.26,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1209,Francis Lewis High School,2019,2200659.0,14455.57,8113.83,7551.02,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1248,P.S. 253,2019,3339.77,3124.95,2.0185,214.82,False,,False,False,False,False,False,False,True,False,False,False,True,True,True
1252,Channel View School for Research,2019,10181.44,4280.11,58.4099,5901.33,False,,False,False,False,False,False,False,True,True,False,False,True,True,True
1256,"Queens High School for Information, Research, and",2019,0.0,43.12,103.0,59.88,False,,False,False,False,False,False,True,False,False,False,False,True,True,True
1257,New York City Academy for Discovery,2019,11730.24,9092.03,1199.74,263821.0,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1262,Waterside Children's Studio School,2019,47364.86,46412.34,12380.29,952.52,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1265,Scholars' Academy,2019,185357.64,108072.38,43546.32,64914.12,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1285,P.S. Q086,2019,13512.13,11818.95,13.798599999999999,1693.18,False,,False,False,False,False,False,False,True,True,False,False,True,True,True
1308,Queens Collegiate: A College Board School,2019,44729.22,4221.98,1008.52,257.27,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1316,The Jermaine L. Green STEM Institute of Queens,2019,4660.82,1545.57,726.39,33817.12,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1319,Hillcrest High School,2019,20267.53,1716.46,339.64,351.07,True,,False,False,False,False,False,False,True,False,False,False,True,True,True
1323,Queens High School for the Sciences at York Colleg,2019,0.0,1083.1,6557.72,5474062.0,True,,False,False,False,False,True,False,False,False,False,True,False,True,True
1375,P.S. 017 Henry David Thoreau,2019,4638707.0,29117.17,11702.07,17269.9,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1392,P.S. 150 Queens,2019,6050.0,3420.0,26195.0,46194.19,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1408,Hunters Point Community Middle School,2019,9931.0,10566.0,16149.05,151514.05,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1426,P.S. 6 Corporal Allan F. Kivlehan School,2019,135510.29,90274.2,77632.67,84922.66,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1461,P.S. 050 Frank Hankinson,2019,54407.39,72661.29,13370.85,18253.9,True,,False,False,False,False,False,False,False,False,False,False,False,False,True
1525,P.S. 064 Robert Simon,2020,265821.0,304.1000061035156,2741.800048828125,2437.659912109375,True,1538.29,False,False,False,False,False,False,False,False,False,False,False,False,True
1526,P.S. 110 Florence Nightingale,2020,50476.19921875,32750.630859375,38081.3203125,555806.875,True,39600.0,False,False,False,False,False,False,False,False,False,False,False,False,True
1530,P.S. 184m Shuang Wen,2020,71590.0,48316.0,179409.0,23274.0,True,137796.35,False,False,False,False,False,False,False,False,False,False,False,False,True
1537,Earth School,2020,0.0,0.0,0.0,0.0,False,131088.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1542,"New Explorations into Science, Technology and Math",2020,1246963.0,1246185.0,942035.0,942813.0,False,719257.0,True,True,False,False,False,False,False,False,False,True,False,True,True
1546,P.S. 002 Meyer London,2020,252115.0,14324.2802734375,10633.490234375,21520.7109375,True,10633.49,False,False,False,False,False,False,False,False,False,False,False,False,True
1548,P.S. 006 Lillie D. Blake,2020,947286.0,1036385.0,1033266.0,959260.0,False,1033236.92,False,True,False,False,False,False,False,False,False,True,False,True,True
1550,P.S. 033 Chelsea Prep,2020,278476.0,170895.0,424496.0,532077.0,False,117462.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1551,P.S. 040 Augustus Saint-Gaudens,2020,187291.0,349180.0,602519.0,440631.0,False,603226.0,False,True,False,False,False,False,False,False,False,True,False,True,True
1552,P.S. 041 Greenwich Village,2020,259860.0,283227.0,518696.0,542063.0,True,673784.68,True,True,False,False,False,False,False,False,False,True,False,True,True
1556,P.S. 059 Beekman Hill International,2020,600079.0,484543.78125,567950.625,683485.875,False,567950.18,False,True,False,False,False,False,False,False,False,True,False,True,True
1557,P.S. 77 Lower Lab School,2020,432369.0,527302.0,549099.0,454166.0,False,549099.0,False,True,False,False,False,False,False,False,False,True,False,True,True
1558,P.S. 89,2020,265305.0,172474.0,488579.0,581410.0,False,,False,True,False,False,False,False,False,False,False,True,False,True,True
1561,East Side Middle School,2020,185694.015625,105646.0,1044.080234375,80048.0234375,False,102392.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1565,P.S. 130 Hernando De Soto,2020,171588.0,233783.0,915430.0,853235.0,False,871768.0,False,True,False,False,False,False,False,False,False,True,False,True,True
1569,P.S. 150,2020,273931.0,259236.0,194738.0,209433.0,False,325759.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1570,Yorkville Community School,2020,108911.0,162872.0,248599.0,194638.0,False,390568.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1572,J.H.S. 167 Robert F. Wagner,2020,726379.625,316647.65625,4644.975,409732.0,False,464497.5,True,False,False,False,False,False,False,False,False,False,False,False,True
1575,P.S. 198 Isador E. Ida Straus,2020,501922.0,161277.0,3165.18,340645.0,False,320200.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1576,P.S. 212 Midtown West,2020,90029.0,94103.0,4304731.5,300657.5625,True,341884.0,True,True,False,False,False,False,False,False,False,True,False,True,True
1580,M.S. 255 Salk School of Science,2020,629323.0,186177.0,5103.07,443146.0,False,58391.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1583,Battery Park City School,2020,461247.375,561600.0,842837.5,742484.875,False,868223.78,False,True,False,False,False,False,False,False,False,True,False,True,True
1588,I.S. 289,2020,54920.01171875,25277.73046875,165297.0,29642.279296875,True,31905.71,True,False,False,False,False,False,False,False,False,False,False,False,True
1589,P.S. 290 Manhattan New School,2020,1308072.0,674773.1875,8807.64625,633298.875,False,835549.51,True,False,False,False,False,False,False,False,False,False,False,False,True
1598,New York City Lab Middle School for Collaborative,2020,29182732.0,11580096.0,156196.1,17602636.0,False,156196.1,False,False,False,False,True,False,False,False,False,True,False,True,True
1600,Sixth Avenue Elementary School,2020,45000.0,45000.0,31337.0,31337.0,False,150876.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1607,Spruce Street School,2020,211849.0,280120.0,488533.0,416803.0,False,27303.41,True,True,False,False,False,False,False,False,False,True,False,True,True
1617,Millennium High School,2020,70378.0,60420.0,70378.0,9958.0,True,93474.39,False,False,False,False,False,False,False,False,False,False,False,False,True
1629,Stuyvesant High School,2020,1026617.0,343698.0,5301.02,682919.0,False,532024.0,True,False,False,False,False,False,False,False,False,False,False,False,True
1630,High School of Economics and Finance,2020,0.0,0.0,322.0,322.0,False,430.52,False,False,False,False,False,True,False,False,False,False,True,True,True
1650,Lower Manhattan Community Middle School,2020,92319.140625,157453.890625,155012.484375,89877.7265625,False,30747.44,True,False,False,False,False,False,False,False,False,False,False,False,True
1652,P.S. 009 Sarah Anderson,2020,801875.0,787100.0,883799.0,14775.0,True,37291.0,True,True,False,False,False,False,False,False,False,True,False,True,True
1653,J.H.S. 054 Booker T. Washington,2020,330638.34375,469939.71875,868748.6875,729447.3125,False,898416.74,False,True,False,False,False,False,False,False,False,True,False,True,True
