,Unnamed: 0,dbn,school_name_x,year,district,school_type,total_enrollment,borough,in_sample,p_asian,p_black,p_hispanic,p_multiple_race_categories_not_represented,p_white,p_other_race,p_students_with_disabilities,p_english_language_learners,p_poverty,economic_need_index,eni_n,weighted_register_allocation,total_fsf_allocations,non_fsf_budget_allocations,total_budget_allocation,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,pta_category,pta_active,p_multi_racial,p_native_american,p_missing_race_ethnicity_data,correction_applied,pta_end_balance_implied,pta_end_balance_diff,pta_end_balance_pct_diff,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff,ets_balance_pct_diff,ets_balance_diff_cat,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag,pp_fsf,pp_non_fsf,pp_total_public,pp_pta_income,pp_pta_expenditure,pp_pta_start_balance,pp_pta_end_balance,pp_total_funding,pta_expenditure_as_p_of_fsf,pta_expenditure_as_p_of_public,pta_expenditure_as_p_of_total,eni_quintile,pp_pta_income_quintile,pp_pta_expenditure_quintile,pp_pta_end_balance_quintile
743,743,15K146,"The Brooklyn New School, P.S. 146",2019,15.0,Elementary School,694.0,K,True,0.046,0.182,0.228,0.135,0.409,0.1350000000000001,0.301,0.042,34.3%,37.4%,0.374,12717904.0,7090480.0,5627424.0,12717904.0,274238.41,273479.34,46553.29,196404.98,Active,1.0,,,,unresolvable,47312.35999999993,149092.62000000008,0.7591081448138437,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10216.829971181556,8108.680115273775,18325.51008645533,395.1562103746397,394.0624495677234,67.07966858789625,283.0042939481268,18719.572536023057,3.856993320621453,2.1503491455824797,2.1050825215661755,Q1,Q5,Q5,Q5
745,745,15K169,P.S. 169 Sunset Park,2019,15.0,Elementary School,1397.0,K,True,0.616,0.01,0.326,0.009,0.039,0.0089999999999998,0.186,0.465,92.6%,93.3%,0.933,23747482.0,15412313.0,8335169.0,23747482.0,1931034.0,16487.08,8315.93,2820.26,Active,1.0,,,,unresolvable,1922862.85,1920042.59,680.8033975590902,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,11032.435934144596,5966.477451682176,16998.91338582677,1382.272011453114,11.801775232641376,5.95270579813887,2.0187974230493917,17010.715161059416,0.106973430918513,0.0694266448964989,0.0693784777471188,Q5,Q5,Q3,Q2
748,748,15K261,P.S. 261 Philip Livingston,2019,15.0,Elementary School,794.0,K,True,0.076,0.208,0.184,0.055,0.477,0.0550000000000001,0.189,0.043,35.4%,35.8%,0.358,11211075.0,7352789.0,3858286.0,11211075.0,373279.36,309775.86,0.0,83916.71,Active,1.0,,,,unresolvable,63503.5,20413.210000000006,0.2432556042771458,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9260.439546599497,4859.302267002519,14119.741813602015,470.1251385390428,390.145919395466,0.0,105.6885516372796,14509.887732997482,4.213038889052847,2.763123607682582,2.6888279673468496,Q1,Q5,Q5,Q5
838,838,17K590,Medgar Evers College Preparatory School,2019,17.0,Junior-Senior High School,1332.0,K,True,0.025,0.869,0.054,0.043,0.009,0.043,0.064,0.004,67.6%,54.5%,0.545,13900790.0,11023041.0,2877749.0,13900790.0,39736.0,29261.0,10394.93,1039493.0,Active,1.0,,,,unresolvable,20869.93,1018623.07,0.979922972064266,True,,,,,False,False,False,False,True,False,False,False,False,True,False,True,True,8275.556306306305,2160.472222222222,10436.028528528528,29.83183183183183,21.96771771771772,7.804001501501502,780.4001501501501,10457.996246246246,0.265453063269927,0.2104988277644651,0.2100566609555126,Q1,Q3,Q3,Q5
859,859,18K276,P.S. 276 Louis Marshall,2019,18.0,Elementary School,611.0,K,True,0.025,0.863,0.039,0.011,0.062,0.011,0.182,0.146,86.9%,70.7%,0.7070000000000001,11643740.0,5717271.0,5926469.0,11643740.0,16574.1,0.0,2149.48,5170.58,Active,1.0,,,,unresolvable,18723.58,13552.999999999998,2.6211759609173435,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9357.235679214402,9699.62193126023,19056.85761047463,27.126186579378068,0.0,3.5179705400981995,8.462487725040916,19056.85761047463,0.0,0.0,0.0,Q2,Q3,Q1,Q4
969,969,20K748,P.S. 748 Brooklyn School for Global Scholars,2019,20.0,Elementary School,531.0,K,True,0.367,0.009,0.284,0.013,0.326,0.014,0.149,0.139,74.4%,67.7%,0.677,8036969.0,5867831.0,2169138.0,8036969.0,4994493.0,48618.0,33468.5,3479539.0,Active,1.0,,,,unresolvable,4979343.5,1499804.5,0.4310354044027096,True,,,,,False,False,False,False,True,False,False,False,False,True,False,True,True,11050.529190207157,4085.005649717514,15135.53483992467,9405.824858757062,91.55932203389833,63.02919020715631,6552.804143126177,15227.094161958568,0.8285514698702127,0.6049295449565626,0.6012921510831558,Q2,Q5,Q5,Q5
1049,1049,22K889,P.S. 889,2019,22.0,Elementary School,136.0,K,True,0.169,0.353,0.184,0.037,0.257,0.037,0.081,0.088,62.5%,61.9%,0.619,2214205.0,1336159.0,878046.0,2214205.0,15532.12,15876.9,12883.0,0.0,Active,1.0,,,,unresolvable,12538.220000000005,12538.220000000005,inf,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9824.698529411764,6456.220588235294,16280.91911764706,114.20676470588236,116.74191176470588,94.7279411764706,0.0,16397.661029411764,1.1882493026653265,0.7170474278578541,0.7119424627409424,Q2,Q5,Q5,Q1
1051,1051,23K041,P.S. 041 Francis White,2019,23.0,K-8 School,402.0,K,True,0.007,0.595,0.333,0.047,0.017,0.048,0.294,0.062,Above 95%,Above 95%,0.95,8243824.0,4774537.0,3469287.0,8243824.0,3968.2,25838.2,850.0,1430.2,Active,1.0,,,,unresolvable,-21020.0,22450.2,15.697245140539785,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,11876.957711442788,8630.067164179105,20507.02487562189,9.871144278606964,64.27412935323383,2.1144278606965172,3.55771144278607,20571.299004975128,0.5411666094534402,0.3134249348360663,0.3124456522540909,Q5,Q2,Q4,Q3
1115,1115,24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,2019,24.0,Elementary School,588.0,Q,True,0.158,0.029,0.488,0.036,0.289,0.036,0.105,0.095,65.0%,53.7%,0.537,7772903.0,5785966.0,1986937.0,7772903.0,35608.13,33082.07,586173.0,2526.06,Active,1.0,,,,unresolvable,588699.06,586173.0,232.05030759364385,True,,,,,False,True,False,False,False,False,False,False,False,True,False,True,True,9840.078231292517,3379.144557823129,13219.222789115644,60.55804421768707,56.26202380952381,996.8928571428572,4.296020408163265,13275.48481292517,0.5717639889346048,0.4256076526363445,0.4238039107599778,Q1,Q4,Q4,Q3
1163,1163,25Q241,Queens High School for Language Studies,2019,25.0,Senior High School,424.0,Q,True,0.594,0.059,0.281,0.038,0.028,0.038,0.064,0.226,78.8%,77.2%,0.772,5675223.0,4636582.0,1038641.0,5675223.0,7361.21,4183095.0,2592.59,3177.26,Active,1.0,,,,unresolvable,-4173141.2,4176318.46,1314.4402598465344,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10935.334905660377,2449.625,13384.959905660377,17.36134433962264,9865.790094339623,6.114599056603774,7.493537735849057,23250.75,90.2193684917036,73.70802874177808,42.43213700349288,Q3,Q3,Q5,Q3
1209,1209,26Q430,Francis Lewis High School,2019,26.0,Senior High School,4492.0,Q,True,0.565,0.061,0.213,0.011,0.148,0.0130000000000001,0.146,0.105,70.1%,60.2%,0.602,51368331.0,40846638.0,10521693.0,51368331.0,2200659.0,14455.57,8113.83,7551.02,Active,1.0,,,,unresolvable,2194317.26,2186766.24,289.5987879783129,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9093.196349065003,2342.318121104185,11435.51447016919,489.90627782724846,3.2180699020480854,1.8062845057880677,1.680992876224399,11438.732540071238,0.0353898648892474,0.0281410155218007,0.028133098582162,Q2,Q5,Q2,Q2
1257,1257,27Q306,New York City Academy for Discovery,2019,27.0,Elementary School,395.0,Q,True,0.185,0.056,0.676,0.056,0.028,0.0549999999999999,0.213,0.17,84.8%,69.5%,0.695,6410763.0,3911333.0,2499430.0,6410763.0,11730.24,9092.03,1199.74,263821.0,Active,1.0,,,,unresolvable,3837.949999999999,259983.05,0.9854524469242404,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9902.108860759494,6327.670886075949,16229.779746835444,29.69681012658228,23.01779746835443,3.0373164556962027,667.9012658227848,16252.797544303798,0.2324534883631744,0.1418244598965833,0.1416236029865615,Q2,Q3,Q3,Q5
1262,1262,27Q317,Waterside Children's Studio School,2019,27.0,Elementary School,517.0,Q,True,0.056,0.23,0.464,0.052,0.197,0.0529999999999999,0.184,0.081,71.2%,63.8%,0.638,8845906.0,5031038.0,3814868.0,8845906.0,47364.86,46412.34,12380.29,952.52,Active,1.0,,,,unresolvable,13332.810000000003,12380.290000000005,12.99740687859573,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9731.214700193425,7378.8549323017405,17110.069632495164,91.6148162475822,89.77241779497098,23.946402321083173,1.8423984526112185,17199.842050290135,0.9225201638310024,0.5246759348335828,0.5219374546143385,Q2,Q4,Q5,Q2
1265,1265,27Q323,Scholars' Academy,2019,27.0,Junior-Senior High School,1351.0,Q,True,0.193,0.172,0.195,0.021,0.417,0.023,0.13,0.001,47.4%,33.5%,0.335,13909571.0,12291638.0,1617933.0,13909571.0,185357.64,108072.38,43546.32,64914.12,Active,1.0,,,,unresolvable,120831.58000000002,55917.460000000014,0.86140673246437,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,9098.177646188007,1197.5817912657292,10295.759437453738,137.20032568467803,79.99435973353071,32.23265729089563,48.04894152479645,10375.75379718727,0.8792349725886819,0.7769641493616158,0.7709739581062163,Q1,Q5,Q4,Q5
1308,1308,28Q310,Queens Collegiate: A College Board School,2019,28.0,Junior-Senior High School,669.0,Q,True,0.293,0.422,0.188,0.088,0.009,0.088,0.164,0.091,86.5%,68.6%,0.6859999999999999,9599750.0,7586278.0,2013472.0,9599750.0,44729.22,4221.98,1008.52,257.27,Active,1.0,,,,unresolvable,41515.759999999995,41258.49,160.37038908539668,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,11339.727952167414,3009.674140508221,14349.402092675637,66.85982062780269,6.3108819133034375,1.507503736920777,0.384559043348281,14355.712974588938,0.0556528511082773,0.0439801036485325,0.0439607696564729,Q2,Q4,Q2,Q1
1316,1316,28Q354,The Jermaine L. Green STEM Institute of Queens,2019,28.0,Elementary School,581.0,Q,True,0.021,0.83,0.091,0.052,0.007,0.051,0.177,0.031,80.7%,68.1%,0.6809999999999999,9112838.0,5948358.0,3164480.0,9112838.0,4660.82,1545.57,726.39,33817.12,Active,1.0,,,,unresolvable,3841.64,29975.480000000003,0.8863995514697881,True,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,10238.13769363167,5446.609294320137,15684.746987951808,8.022065404475043,2.6601893287435456,1.2502409638554215,58.20502581755594,15687.407177280553,0.0259831368589449,0.0169603585622832,0.0169574825124459,Q2,Q2,Q2,Q5
1319,1319,28Q505,Hillcrest High School,2019,28.0,Senior High School,3300.0,Q,True,0.323,0.262,0.335,0.047,0.033,0.0469999999999999,0.109,0.18,83.4%,74.0%,0.74,40020438.0,31050959.0,8969479.0,40020438.0,20267.53,1716.46,339.64,351.07,Active,1.0,,,,unresolvable,18890.71,18539.64,52.80895547896431,True,,,,,False,False,False,False,False,False,True,False,False,False,True,True,True,9409.381515151515,2718.0239393939396,12127.405454545456,6.141675757575757,0.5201393939393939,0.1029212121212121,0.1063848484848484,12127.925593939392,0.005527880797498,0.0042889585566254,0.0042887746128597,Q2,Q2,Q1,Q1
1323,1323,28Q687,Queens High School for the Sciences at York Colleg,2019,28.0,Senior High School,475.0,Q,True,0.819,0.032,0.04,0.048,0.061,0.048,0.0,0.0,61.9%,48.5%,0.485,5835939.0,5347866.0,488073.0,5835939.0,0.0,1083.1,6557.72,5474062.0,Active,1.0,,,,unresolvable,5474.620000000001,5468587.38,0.9989998980647278,True,,,,,False,False,False,False,True,False,False,False,False,True,False,True,True,11258.665263157896,1027.522105263158,12286.187368421051,0.0,2.2802105263157895,13.805726315789476,11524.341052631578,12288.46757894737,0.0202529382748184,0.0185591384694048,0.0185556946923329,Q1,Q1,Q2,Q5
